2017-07-02 22:12:38,565 [Worker-3] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-07-02 22:13:45,105 [Start Help Server] INFO  org.eclipse.jetty.util.log - Logging initialized @104255ms to org.eclipse.jetty.util.log.Slf4jLog
2017-07-02 22:13:47,457 [Start Help Server] INFO  org.eclipse.jetty.server.Server - jetty-9.4.5.v20170502
2017-07-02 22:13:47,698 [Start Help Server] INFO  org.eclipse.jetty.server.session - DefaultSessionIdManager workerName=node0
2017-07-02 22:13:47,698 [Start Help Server] INFO  org.eclipse.jetty.server.session - No SessionScavenger set, using defaults
2017-07-02 22:13:47,699 [Start Help Server] INFO  org.eclipse.jetty.server.session - Scavenging every 600000ms
2017-07-02 22:13:47,942 [Start Help Server] INFO  o.e.j.server.handler.ContextHandler - Started o.e.j.s.ServletContextHandler@23b9feb2{/help,null,AVAILABLE}
2017-07-02 22:13:48,023 [Start Help Server] INFO  o.e.jetty.server.AbstractConnector - Started ServerConnector@249e4e40{HTTP/1.1,[http/1.1]}{127.0.0.1:61915}
2017-07-02 22:13:48,024 [Start Help Server] INFO  org.eclipse.jetty.server.Server - Started @107174ms
2017-07-02 23:08:27,929 [Stop Help Server] INFO  o.e.jetty.server.AbstractConnector - Stopped ServerConnector@249e4e40{HTTP/1.1,[http/1.1]}{127.0.0.1:0}
2017-07-02 23:08:27,930 [Stop Help Server] INFO  org.eclipse.jetty.server.session - Stopped scavenging
2017-07-02 23:08:27,946 [Stop Help Server] INFO  o.e.j.server.handler.ContextHandler - Stopped o.e.j.s.ServletContextHandler@23b9feb2{/help,null,UNAVAILABLE}
2017-07-03 14:28:25,919 [Worker-0] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2017-07-03 14:30:38,133 [Start Help Server] INFO  org.eclipse.jetty.util.log - Logging initialized @166519ms to org.eclipse.jetty.util.log.Slf4jLog
2017-07-03 14:30:38,566 [Start Help Server] INFO  org.eclipse.jetty.server.Server - jetty-9.4.5.v20170502
2017-07-03 14:30:38,615 [Start Help Server] INFO  org.eclipse.jetty.server.session - DefaultSessionIdManager workerName=node0
2017-07-03 14:30:38,615 [Start Help Server] INFO  org.eclipse.jetty.server.session - No SessionScavenger set, using defaults
